Symbol,Min_halflife,Max_halflife,Tissue_rolfs
APOA1,8.317766166719743,57.92114596789348,Arytenoid Cartilage|Blood|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Vocal Fold Mucosa
APOA2,8.489768884316028,17.414482118603818,Blood
APOA4,8.31776616671968,63.508942251745644,Arytenoid Cartilage|Blood|Cricoid Cartilage|Liver|Vocal Fold Mucosa
APOB,27.341286459533716,1001.5371663719943,Liver|Thyroid Cartilage
APOBEC2,131.1226636197583,291.13637265372154,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
APOBEC4,19.27148621839007,25.52166600202307,Liver
APOC1,8.317766166719746,52.14246593981534,Blood|Liver
APOC2,8.317766166719725,14.310381540705038,Blood
APOC3,8.317766166719721,46.11629843217553,Blood|Liver
APOD,16.493686628425507,22.42227239247737,Blood
APOE,35.71466182923359,60.67818913568256,Liver
APOH,8.3177661667198,22.306817653720657,Blood
APOO,96.58344364513047,434.9158779983993,Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Vocal Fold Mucosa
APOOL,106.55606157723123,590.1217571280195,Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
AQP1,111.43098890373564,135.87790846556132,Cricoid Cartilage
AQP9,42.934838005055234,58.5572611969402,Liver
ARAP3,143.49635412264908,490.1453250865882,Sternocleidomastoid Muscle|Thyroid Cartilage
ARCN1,53.00979011356412,125.23927074786336,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage
ARF1,71.82252108382815,172.29966166162424,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage
ARF2,71.82252108382815,172.29966166162424,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage
ARF3,71.82252108382815,172.29966166162424,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage
ARF4,46.64516692866388,127.64161999108953,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage
ARF5,51.729010023441774,127.64161999108953,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage
ARF6,147.1389734073833,186.66441128185352,Liver
ARFGAP2,42.41161618763695,69.67470402679976,Liver
ARG1,102.01467059199948,150.20796689332224,Cricoid Cartilage|Liver
ARHGAP1,59.22225821800892,123.5831835185997,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage
ARHGAP10,29185.14444462925,51986.03854199584,Sternocleidomastoid Muscle
